ID,SIRE,DAM,SEXO,S
248,164,82,MALE,1
249,164,103,MALE,1
250,0,0,female,2
251,0,0,female,2
252,127,177,female,2
253,0,0,female,2
254,0,0,MALE,1
255,0,165,female,2
256,164,180,female,2
257,102,175,MALE,1
258,164,184,female,2
259,134,160,MALE,1
260,0,0,female,2
261,102,125,MALE,1
262,168,204,MALE,1
263,164,179,MALE,1
264,134,104,female,2
265,102,87,MALE,1
266,219,166,female,2
267,174,126,MALE,1
268,0,0,female,2
269,113,76,female,2
270,134,153,MALE,1
271,0,0,female,2
272,0,0,female,2
273,137,169,female,2
274,108,0,female,2
275,0,0,female,2
276,0,0,female,2
277,196,189,female,2
278,188,176,MALE,1
279,137,187,MALE,1
280,155,103,female,2
281,168,192,female,2
282,193,82,female,2
283,185,209,MALE,1
284,191,165,MALE,1
285,0,194,MALE,1
286,212,154,MALE,1
287,219,225,female,2
288,219,122,female,2
289,168,153,MALE,1
290,115,184,female,2
291,199,173,female,2
292,102,180,female,2
293,102,87,female,2
294,164,140,female,2
295,164,141,female,2
296,219,129,female,2
297,213,158,female,2
298,127,89,female,2
299,137,107,female,2
300,208,187,female,2
301,213,205,MALE,1
302,0,0,female,2
303,0,0,MALE,1
304,78,104,female,2
305,168,204,female,2
306,0,0,female,2
307,78,159,female,2
308,203,171,female,2
309,78,192,female,2
310,164,140,MALE,1
311,164,154,MALE,1
312,219,76,MALE,1
313,219,182,MALE,1
314,0,0,MALE,1
315,115,141,MALE,1
316,102,87,female,2
317,212,239,female,2
318,164,176,female,2
319,212,180,female,2
320,78,204,MALE,1
321,219,226,female,2
322,219,158,female,2
323,202,145,female,2
324,219,223,MALE,1
325,188,125,female,2
326,0,0,female,2
327,0,0,MALE,1
328,0,0,female,2
329,102,87,female,2
330,212,180,MALE,1
331,102,227,female,2
332,214,251,female,2
333,0,0,MALE,1
334,212,179,female,2
335,212,258,female,2
336,212,228,female,2
337,267,225,MALE,1
338,115,175,MALE,1
339,78,236,female,2
340,115,184,MALE,1
341,199,170,MALE,1
342,212,239,MALE,1
343,78,192,female,2
344,203,171,female,2
345,203,144,female,2
346,244,234,MALE,1
347,244,123,female,2
348,0,0,female,2
349,164,154,MALE,1
350,213,252,MALE,1
351,208,229,MALE,1
352,102,170,MALE,1
353,188,258,MALE,1
354,220,218,female,2
355,188,125,MALE,1
356,212,82,MALE,1
357,78,235,female,2
358,78,165,MALE,1
359,212,245,MALE,1
360,241,282,female,2
361,270,171,female,2
362,286,184,MALE,1
363,213,178,female,2
364,213,205,MALE,1
365,270,144,female,2
366,267,122,MALE,1
367,244,272,female,2
368,213,158,female,2
369,102,87,MALE,1
370,0,109,MALE,1
371,213,223,MALE,1
372,0,217,female,2
373,303,198,female,2
374,213,80,female,2
375,168,281,female,2
376,212,179,MALE,1
377,212,180,MALE,1
378,137,109,MALE,1
379,208,232,female,2
380,212,292,female,2
381,213,323,female,2
382,212,82,female,2
383,212,294,female,2
384,286,280,female,2
385,188,125,female,2
386,212,221,female,2
387,188,239,female,2
388,0,0,female,2
389,0,0,female,2
390,0,0,MALE,1
391,164,103,female,2
392,0,0,MALE,1
393,286,258,MALE,1
394,102,256,MALE,1
395,164,154,MALE,1
396,212,228,MALE,1
